project_name,project_location,project_founder,fund_goal,fund_currency,fund_progress,fund_date_end,fund_supporter,category,goal_tipping point,goal_stretch point,percentagefunded,percstretch,Word_count,Analytic,Clout,Authentic,Tone,Words_per_sentence,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
 Bianca Nikol Roberson Mural: STOP GUN VIOLENCE!,"Philadelphia, United States",Bianca Nikol Roberson Memorial Foundation Inc a registered 501 (c)3,"25,000",USD,"4,142","'Fundraising ended on Mar 27, 2019",56,Civic;Community;Social Enterprise;,"25,000","30,000",0.16568,0.13807,292,96.05,93.82,3.28,1.00,19.47,23.29,43.15,8.90,6.51,0.00,3.42,0.34,1.71,1.03,2.40,8.56,16.10,7.19,2.05,2.05,0.34,13.36,2.74,1.37,1.71,3.42,1.03,7.53,2.05,5.48,0.00,3.08,0.34,12.33,0.34,0.00,1.03,1.71,7.19,1.03,2.05,2.05,1.37,0.68,0.34,0.68,0.00,0.68,0.00,2.05,0.00,2.05,0.00,0.00,11.64,5.48,1.03,3.42,0.68,1.71,2.74,9.93,0.34,12.33,1.37,7.88,3.08,4.11,2.05,0.00,1.03,0.34,1.37,0.00,0.00,0.00,0.00,0.00,0.00,12.33,4.45,3.08,1.03,0.00,0.00,1.03,0.00,0.68,1.37,0.00,0.68
 Help People with a Disability in Maleny,"Maleny, Sunshine Coast, Queensland, Australia",Kristine FitzGerald,"20,000",AUD,"2,811","'Fundraising ended on Apr 08, 2018",26,Arts & Culture;Community;Social Enterprise;,"20,000","35,000",0.14055,0.08031,396,89.71,89.65,4.18,96.96,19.80,28.54,43.43,6.06,4.04,0.00,1.52,0.25,1.77,0.51,2.02,6.82,14.14,7.83,2.27,7.32,0.25,14.14,3.79,0.00,1.52,0.25,1.52,6.06,5.56,0.51,0.51,0.00,0.00,11.62,1.77,0.25,0.51,1.52,7.07,1.26,2.02,1.01,0.76,1.52,0.51,2.78,1.01,1.52,0.00,1.26,0.00,0.25,0.00,0.76,14.39,6.31,4.04,3.79,2.27,0.25,1.77,9.09,2.27,11.62,2.53,6.06,3.28,6.31,5.56,0.76,1.77,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00,11.11,4.55,5.05,0.51,0.00,0.25,0.00,0.76,0.00,0.00,0.00,0.00
 You Can Help Us Launch The Priceless Campaign,Lancaster,The Priceless Campaign,"2,200",USD,"1,345","'Fundraising ended on Dec 23, 2012",13,Children & Youth;,"2,200","6,500",0.61136,0.20692,280,83.00,97.27,22.31,11.79,14.74,25.00,40.00,7.86,5.36,0.71,1.79,2.14,0.00,0.71,2.50,8.21,8.93,7.86,2.50,5.36,0.71,11.79,5.36,2.86,1.79,2.14,2.14,8.93,3.93,5.00,0.00,1.79,1.79,18.57,0.00,0.00,3.93,0.00,9.29,3.21,3.57,0.36,0.71,0.71,1.79,2.14,0.36,1.07,0.36,3.21,0.36,1.07,1.79,0.00,13.93,4.64,2.50,9.29,0.71,0.71,0.36,11.07,1.43,11.07,2.14,5.71,2.86,0.36,0.00,0.71,3.57,0.36,0.71,0.36,0.00,0.00,0.00,0.36,0.00,14.64,2.86,4.64,0.00,0.00,0.71,3.21,1.07,0.71,0.00,0.00,1.43
"""It is not the mountain we conquer but ourselves"" ","Lindome , Sweden",Josefine Steenari,"30,000",SEK,"2,400","'Fundraising ended on May 30, 2018",6,Civic;Community;Human Rights;,"30,000","60,000",0.08000,0.04000,981,60.66,48.78,35.41,83.67,20.44,16.11,50.87,13.97,8.97,6.32,1.12,0.41,0.51,0.61,4.99,6.01,12.74,9.99,3.98,6.42,1.12,15.70,4.08,2.55,1.22,2.85,2.14,3.98,3.57,0.31,0.10,0.10,0.00,7.65,0.10,0.10,0.31,0.41,8.77,0.71,1.94,1.33,2.65,1.43,2.04,1.12,0.71,0.10,0.20,1.94,0.71,0.92,0.10,0.20,8.66,3.57,2.04,3.06,1.12,0.20,2.45,11.11,1.33,11.52,2.14,6.52,3.06,2.75,2.65,0.10,1.43,0.00,0.00,0.71,0.00,0.71,0.00,0.00,0.00,17.84,6.01,3.06,1.53,0.00,0.00,0.92,0.71,1.02,0.71,0.82,3.06
#APATCE - Empowering Tourism for All,"Canberra, Australia",getaboutable.com,"20,000",AUD,"20,090","'Nov 15, 2019",74,Arts & Culture;Human Rights;Social Enterprise;,"20,000","50,000",1.00450,0.40180,649,92.21,83.42,18.24,74.54,24.04,28.35,43.61,8.01,5.08,0.00,1.69,2.00,0.00,1.39,2.77,6.93,16.33,5.70,2.93,6.47,0.77,14.48,3.39,2.47,0.46,1.69,1.69,3.85,3.24,0.62,0.15,0.15,0.00,9.86,0.31,0.77,0.15,0.00,12.02,3.24,0.92,3.39,3.39,0.62,3.08,1.85,1.08,0.46,0.31,0.77,0.62,0.00,0.00,0.15,9.71,3.08,2.00,1.54,3.70,0.31,0.46,10.63,2.16,12.63,4.01,6.47,2.62,5.08,3.39,0.62,1.39,0.00,0.00,0.46,0.00,0.15,0.15,0.15,0.00,22.34,4.78,4.01,1.08,0.00,0.00,0.15,2.00,0.31,2.00,1.85,6.16
#BlackandHooded Scholarship Fund 2018-19,"New York City, United States",#BLACKANDHOODED,"3,000",USD,"1,390","'Fundraising ended on Jul 31, 2018",31,Civic;Community;Education;,"3,000","4,000",0.46333,0.34750,114,79.88,97.28,1.00,97.58,22.80,38.60,36.84,13.16,6.14,0.00,5.26,0.88,0.00,0.00,7.02,4.39,9.65,4.39,0.00,5.26,0.00,10.53,3.51,1.75,0.00,3.51,3.51,7.02,6.14,0.88,0.00,0.00,0.00,13.16,0.88,1.75,0.00,0.00,5.26,0.88,1.75,0.88,1.75,0.88,0.00,1.75,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.68,12.28,7.02,6.14,5.26,0.00,0.00,8.77,2.63,6.14,1.75,0.88,3.51,19.30,0.88,0.88,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,3.51,2.63,0.00,0.00,0.00,0.88,0.88,0.00,0.88,0.00,1.75
#SwipeItForward ,"New York City, United States",SwipeItForward NYC,"1,000",USD,"2,410","'Mar 10, 2017",64,Community;Human Rights;Politics;,"1,000","2,000",2.41000,1.20500,152,92.17,85.38,9.58,16.38,38.00,30.92,42.11,6.58,3.95,0.00,3.95,0.00,0.00,0.00,2.63,7.89,13.82,4.61,3.95,7.24,0.00,7.89,3.95,1.32,1.32,0.00,0.66,7.89,3.29,3.95,0.00,3.29,0.00,8.55,0.00,0.00,0.00,0.00,7.24,1.32,1.32,0.66,0.66,1.32,1.97,2.63,1.32,0.66,0.66,1.32,0.66,0.66,0.00,0.00,14.47,7.24,2.63,3.29,0.66,0.66,0.66,5.26,0.00,10.53,1.32,5.92,3.29,5.92,0.66,0.66,3.95,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,17.76,1.97,6.58,0.66,0.00,0.00,0.00,0.00,0.00,1.97,3.95,2.63
1 in Too Campaign,"Washington, D.C.",Advocates for Youth Efficacy,500,USD,90,"'Fundraising ended on Mar 24, 2012",5,Community;,500,"2,000",0.18000,0.04500,302,74.55,73.54,18.24,6.98,23.23,20.20,53.31,10.93,3.97,0.33,0.66,0.66,0.00,2.32,6.95,5.96,15.89,10.60,4.97,5.63,0.99,17.22,3.31,1.99,1.32,3.97,2.98,8.28,3.31,4.97,0.00,2.65,0.66,9.60,0.00,0.00,0.33,0.33,11.92,2.65,0.33,1.66,3.31,1.99,3.31,2.32,1.32,0.33,0.33,1.99,1.32,0.33,0.33,0.00,8.94,1.66,0.66,5.63,0.99,0.33,1.66,12.58,1.99,10.93,0.33,7.95,2.65,1.66,0.66,0.33,2.32,0.00,0.00,0.99,0.00,0.33,0.33,0.33,0.00,14.24,5.63,3.97,0.33,0.33,0.00,0.00,0.00,2.32,0.33,0.66,0.66
10 For 10 - Help charities drive impact!,"London, United Kingdom",Progress 81,"10,000",GBP,931,"'Fundraising ended on Jan 21, 2020",7,Children & Youth;Community;Social Enterprise;,"10,000","20,000",0.09310,0.04655,457,95.95,68.48,39.95,99.00,30.47,30.85,43.33,5.03,3.06,0.00,0.66,0.00,0.00,2.41,1.97,8.10,16.63,5.69,2.63,6.78,0.66,12.47,4.60,1.97,0.66,3.72,1.75,8.53,8.32,0.22,0.00,0.00,0.22,7.88,0.00,0.00,0.00,0.00,8.75,2.19,1.75,1.09,1.31,0.66,3.06,1.31,1.09,0.00,0.22,0.88,0.00,0.66,0.22,0.00,10.07,1.53,3.72,3.28,1.75,0.44,2.84,9.19,0.66,15.32,3.72,8.32,3.72,7.00,0.00,0.00,6.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.32,3.28,3.06,0.00,0.00,0.00,0.00,0.22,0.00,0.88,0.00,0.88
100 Miles to End Homelessness,"Northampton, MA",Northampton Exercise Club for the Homeless,"1,500",USD,"1,858","'Sep 08, 2013",28,Community;Health;,"1,500","2,500",1.23867,0.74320,145,98.01,81.50,92.53,64.98,20.71,17.93,42.76,3.45,3.45,0.00,0.69,0.00,0.00,2.76,0.00,9.66,16.55,6.90,2.07,5.52,0.00,10.34,1.38,0.69,0.69,2.07,0.00,2.07,2.07,0.00,0.00,0.00,0.00,8.28,0.00,0.69,0.00,1.38,2.07,0.69,0.00,0.00,0.00,1.38,0.00,1.38,0.69,0.69,0.00,3.45,0.00,2.07,0.00,1.38,6.90,4.14,0.00,1.38,0.69,0.69,0.00,4.83,5.52,28.97,6.21,13.79,9.66,0.00,6.21,0.00,0.69,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.48,4.83,5.52,0.00,0.00,0.00,0.00,2.76,0.00,0.69,0.00,0.69
1000 Hummingbirds Water Women,Santa Cruz,1000 Hummingbirds,"1,500",USD,"1,637","'Apr 29, 2012",32,Human Rights;,"1,500","3,000",1.09133,0.54567,291,53.59,88.53,14.97,51.49,20.79,19.93,49.14,13.40,5.50,0.34,1.72,1.37,1.72,0.34,7.90,5.84,11.68,9.28,5.50,6.53,2.06,14.78,2.75,0.00,2.41,2.06,1.72,2.75,2.06,0.69,0.34,0.00,0.00,14.09,0.00,0.00,4.81,0.00,8.25,1.03,1.03,0.34,2.06,2.41,2.75,2.75,0.69,2.06,0.00,2.41,1.03,0.00,0.34,1.03,4.47,2.41,0.34,0.69,1.03,0.34,2.41,9.97,1.37,12.71,2.75,6.19,3.78,1.37,1.72,0.00,0.00,0.34,0.00,0.69,0.00,0.34,0.00,0.34,0.00,27.49,6.87,5.84,0.69,1.03,0.00,0.00,1.37,2.75,4.47,1.37,3.09
1000 Hummingbirds Water Women,Santa Cruz,1000 Hummingbirds,"1,500",USD,"1,637","'Apr 29, 2012",32,Human Rights;,"1,500","3,000",1.09133,0.54567,291,53.59,88.53,14.97,51.49,20.79,19.93,49.14,13.40,5.50,0.34,1.72,1.37,1.72,0.34,7.90,5.84,11.68,9.28,5.50,6.53,2.06,14.78,2.75,0.00,2.41,2.06,1.72,2.75,2.06,0.69,0.34,0.00,0.00,14.09,0.00,0.00,4.81,0.00,8.25,1.03,1.03,0.34,2.06,2.41,2.75,2.75,0.69,2.06,0.00,2.41,1.03,0.00,0.34,1.03,4.47,2.41,0.34,0.69,1.03,0.34,2.41,9.97,1.37,12.71,2.75,6.19,3.78,1.37,1.72,0.00,0.00,0.34,0.00,0.69,0.00,0.34,0.00,0.34,0.00,27.49,6.87,5.84,0.69,1.03,0.00,0.00,1.37,2.75,4.47,1.37,3.09
1000 Hummingbirds Water Women,Santa Cruz,1000 Hummingbirds,"1,500",USD,"1,637","'Apr 29, 2012",32,Human Rights;,"1,500","3,000",1.09133,0.54567,291,53.59,88.53,14.97,51.49,20.79,19.93,49.14,13.40,5.50,0.34,1.72,1.37,1.72,0.34,7.90,5.84,11.68,9.28,5.50,6.53,2.06,14.78,2.75,0.00,2.41,2.06,1.72,2.75,2.06,0.69,0.34,0.00,0.00,14.09,0.00,0.00,4.81,0.00,8.25,1.03,1.03,0.34,2.06,2.41,2.75,2.75,0.69,2.06,0.00,2.41,1.03,0.00,0.34,1.03,4.47,2.41,0.34,0.69,1.03,0.34,2.41,9.97,1.37,12.71,2.75,6.19,3.78,1.37,1.72,0.00,0.00,0.34,0.00,0.69,0.00,0.34,0.00,0.34,0.00,27.49,6.87,5.84,0.69,1.03,0.00,0.00,1.37,2.75,4.47,1.37,3.09
2000 Schools To Help Save Our Black Cockatoos,Perth WA ,Kaarakin Black Cockatoo Rescue Centre,"4,000",USD,105,"'Fundraising ended on Aug 20, 2012",4,Environment;,"4,000","14,000",0.02625,0.00750,507,93.21,87.77,9.74,63.16,26.68,26.23,46.35,9.27,5.72,0.00,2.17,0.20,0.00,3.35,3.55,9.07,14.79,6.51,2.17,5.13,0.39,8.88,2.76,0.79,0.99,1.97,1.78,3.75,2.76,0.79,0.59,0.39,0.20,10.45,1.58,0.20,0.20,0.00,2.96,0.59,0.59,0.20,0.79,0.59,0.79,4.14,3.55,0.39,0.20,1.38,0.20,0.39,0.00,0.79,8.88,3.75,1.97,3.16,0.59,0.59,1.97,6.31,1.97,12.03,1.78,6.11,4.93,4.14,2.37,0.99,3.55,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.02,3.55,3.94,0.20,0.00,0.00,0.00,0.00,1.38,0.59,1.97,1.38
2014 Native American Heritage Day Concert,"Bellingham, Washington",HonorWorks,"2,500",USD,140,"'Fundraising ended on Sep 25, 2014",5,Arts & Culture;,"2,500","5,000",0.05600,0.02800,384,85.43,97.72,5.13,99.00,20.21,30.47,46.88,12.24,7.81,0.00,5.21,0.26,0.00,2.34,4.43,7.81,13.80,4.95,2.86,7.29,0.00,9.11,4.43,2.34,2.34,0.26,1.56,10.42,9.90,0.26,0.26,0.00,0.00,15.62,0.00,0.00,0.00,0.00,8.33,1.04,4.17,0.78,1.56,0.78,1.04,3.65,0.26,3.39,0.00,1.04,0.00,0.78,0.00,0.26,15.89,8.59,5.21,3.12,1.56,0.26,0.52,8.33,0.78,9.90,1.30,4.43,4.17,3.12,6.25,0.00,1.04,0.00,0.00,0.26,0.00,0.00,0.00,0.26,0.00,11.98,4.69,2.86,1.30,0.00,0.26,0.00,0.52,0.00,0.26,0.00,2.08
2017 Denis Tricks Leader Scholarship,"Regional Victoria, Australia",Matt Vaux,"5,000",AUD,260,"'Fundraising ended on Jul 01, 2016",12,Children & Youth;Community;Education;,"5,000","7,500",0.05200,0.03467,862,86.61,88.38,50.76,63.16,21.55,32.02,44.20,9.51,6.61,2.67,0.93,0.35,0.00,2.67,2.90,7.89,12.53,6.50,2.78,6.26,0.35,11.72,3.48,1.39,1.28,1.97,1.39,3.60,2.78,0.81,0.00,0.81,0.00,15.08,0.00,0.23,0.00,0.00,10.21,4.18,2.78,0.58,0.81,0.93,1.39,1.51,0.23,0.46,0.23,1.39,0.23,1.16,0.00,0.00,13.92,4.87,7.77,6.26,1.97,0.00,3.25,7.31,0.58,13.46,1.97,7.89,3.60,12.88,0.46,0.00,0.70,0.00,0.00,0.23,0.00,0.00,0.00,0.23,0.00,11.48,4.52,3.25,0.12,0.00,0.00,0.12,0.46,0.35,0.93,1.39,0.35
21 Vets Project,"Melbourne, United States",DANIEL PIPPIN,"10,000",USD,"1,194","'Fundraising ended on Sep 08, 2020",8,Community;Economic Development;Health;,"10,000","15,000",0.11940,0.07960,339,80.31,95.34,17.27,3.39,14.74,25.96,43.36,12.39,8.55,0.00,5.31,0.88,0.00,2.36,3.83,4.42,13.86,7.67,2.36,3.83,0.59,11.21,3.24,2.36,2.06,5.90,2.36,4.72,1.18,3.54,0.88,1.18,0.00,12.68,0.00,0.00,0.00,0.00,7.08,2.06,2.06,0.29,0.59,0.88,1.47,0.88,0.29,0.00,0.29,2.95,1.47,1.77,0.29,0.00,15.93,6.78,1.18,7.67,1.18,0.29,2.95,9.73,0.59,12.09,0.88,6.19,4.42,3.54,0.59,0.88,1.47,0.29,2.06,0.00,0.00,0.00,0.00,0.00,0.00,15.04,7.08,3.54,0.00,0.00,0.29,0.59,2.36,0.00,0.88,0.00,0.29
25 Days for 25 Girls,"Washington, DC",Michelle in Training,"4,000",USD,"1,335","'Fundraising ended on Apr 27, 2012",23,Arts & Culture;Community;,"4,000","10,000",0.33375,0.13350,780,83.85,94.96,25.51,77.64,19.02,21.54,43.97,10.77,7.05,0.00,3.21,0.38,0.26,3.21,3.72,6.54,13.59,7.18,2.69,5.13,1.03,13.72,4.87,1.54,1.41,5.13,2.44,3.08,2.82,0.00,0.00,0.00,0.00,15.77,0.00,0.13,4.23,0.00,6.92,1.67,0.90,0.51,1.28,1.28,1.92,1.03,0.38,0.26,0.13,1.28,0.26,0.38,0.00,0.51,13.21,5.00,4.74,3.59,2.05,0.00,1.41,7.56,4.10,14.23,2.44,7.05,4.87,13.21,1.67,0.13,2.05,0.13,0.00,0.13,0.00,0.13,0.00,0.00,0.00,23.33,4.36,8.97,1.92,0.00,0.38,0.64,0.64,0.00,1.28,0.51,4.62
25 dreams,Apartadó - Antioquia,La 25 Social Project,"30,000",USD,245,"'Fundraising ended on Oct 03, 2014",7,Children & Youth;,"30,000","62,000",0.00817,0.00395,565,96.91,84.77,11.54,62.68,19.48,30.62,39.65,6.02,4.42,0.00,1.77,0.18,0.00,2.48,1.59,7.26,16.11,4.25,1.95,5.49,0.00,8.85,5.13,2.48,0.35,4.96,2.48,3.01,2.48,0.53,0.18,0.35,0.00,9.38,0.18,0.00,0.00,0.18,7.26,1.59,1.42,0.71,1.06,1.59,1.06,0.35,0.18,0.00,0.00,2.30,0.18,1.95,0.00,0.18,10.27,3.72,3.36,3.72,1.42,0.35,0.71,7.26,0.53,11.86,0.88,8.67,2.48,4.78,2.83,0.88,1.06,0.00,0.00,0.71,0.00,0.71,0.00,0.00,0.00,17.17,5.84,2.65,1.24,0.00,0.00,0.00,2.83,1.06,0.00,0.35,3.19
25 startups in 5 years,Siem Reap,AngkorHUB,"6,000",USD,"3,262","'Fundraising ended on Mar 01, 2015",28,Community;Economic Development;,"6,000","16,000",0.54367,0.20388,208,98.10,83.19,35.37,70.96,29.71,37.50,39.90,6.73,3.85,0.00,3.85,0.00,0.00,0.00,2.88,8.17,16.83,3.85,1.44,3.85,0.48,7.69,2.88,0.48,0.96,1.92,0.96,2.40,2.40,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,4.81,1.92,0.48,0.48,0.96,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.02,5.29,2.88,2.40,2.88,0.00,0.00,5.77,0.48,15.87,4.81,7.69,4.33,16.35,0.48,0.00,5.29,0.00,0.00,0.48,0.00,0.48,0.00,0.00,0.00,22.12,3.85,6.73,0.00,2.88,0.00,0.00,2.40,0.00,0.00,0.96,5.29
30 Coders To Conquer The Last Digital Frontier,Gaithersburg,Coders4Africa,"18,000",USD,"3,030","'Fundraising ended on Aug 09, 2012",47,Economic Development;Education;,"18,000","33,000",0.16833,0.09182,441,87.62,76.59,11.62,51.21,21.00,32.65,39.23,5.90,2.49,0.00,0.23,0.91,0.00,1.36,3.40,5.90,12.47,7.03,2.27,7.26,0.23,12.70,4.31,2.49,1.59,1.59,2.04,2.27,1.81,0.45,0.00,0.00,0.23,7.48,0.00,0.00,0.00,0.00,9.30,1.59,2.72,0.68,1.81,2.04,1.13,1.59,0.45,0.45,0.68,3.17,0.00,2.27,0.00,0.91,12.02,2.27,2.95,5.90,1.59,0.23,0.45,8.84,3.40,11.79,2.49,6.58,2.72,12.70,1.13,0.00,0.91,0.00,0.00,1.13,0.00,0.68,0.23,0.23,0.00,15.65,4.54,4.99,0.91,0.00,0.23,0.00,0.23,0.00,0.00,3.85,0.91
3D Printing Bionic Hands With Waste Plastic,"Brisbane, Australia",Bernie Craven,"16,000",AUD,"10,010","'Fundraising ended on Aug 12, 2018",23,Community;Environment;Social Enterprise;,"16,000","35,000",0.62563,0.28600,5659,87.64,85.35,10.05,97.59,22.46,24.28,41.97,9.40,6.04,0.49,1.91,2.21,0.80,0.64,3.36,5.90,14.26,5.39,2.54,6.43,0.69,10.90,4.14,1.80,1.27,2.97,1.61,6.33,5.80,0.53,0.16,0.07,0.00,9.40,0.04,0.07,0.35,0.62,7.85,1.52,2.62,0.94,1.36,0.88,1.80,3.16,0.99,0.44,1.48,1.66,0.97,0.37,0.12,0.18,12.79,3.02,5.25,4.24,3.83,0.16,1.66,8.23,1.17,11.24,2.24,6.06,3.27,7.09,1.06,0.19,1.38,0.23,0.00,0.35,0.02,0.12,0.07,0.12,0.00,17.53,4.45,4.77,0.58,0.07,0.18,0.53,1.59,0.46,1.17,1.11,2.62
"500 ""Keith & Kevin"" Books in 100 High-Need Schools","Charlotte, United States",Keith Pierce,"15,000",USD,"5,320","'Fundraising ended on Oct 01, 2018",30,Children & Youth;Education;,"15,000","25,000",0.35467,0.21280,880,89.33,81.84,29.91,85.42,21.46,21.70,47.95,8.75,3.98,0.34,0.80,0.57,0.11,2.16,4.77,7.61,15.91,7.50,3.98,5.68,0.68,13.98,6.93,3.86,1.02,3.41,4.09,4.43,3.86,0.45,0.00,0.00,0.23,10.57,0.80,0.57,0.00,0.45,8.86,1.82,3.18,0.80,1.02,0.91,1.82,1.59,0.80,0.23,0.23,1.02,0.34,0.45,0.00,0.00,10.80,3.07,2.05,5.34,1.36,0.45,0.80,10.11,1.14,14.77,1.36,8.18,5.34,8.41,2.84,0.80,0.57,0.23,0.00,0.11,0.00,0.00,0.11,0.00,0.00,14.43,4.20,5.00,0.00,0.57,0.34,0.45,1.02,0.45,1.36,0.23,0.80
52 Master Pieces,United States,David Cohen,"5,200",USD,"6,690","'May 20, 2016",68,Arts & Culture;Children & Youth;Education;,"5,200","10,200",1.28654,0.65588,434,93.89,80.29,10.87,99.00,24.11,32.72,40.55,7.14,3.23,0.46,2.07,0.46,0.00,0.23,3.92,9.22,12.44,5.53,2.07,5.30,0.46,9.45,7.60,2.30,0.46,2.53,3.23,10.37,9.68,0.69,0.00,0.00,0.00,8.76,0.23,0.69,0.00,0.23,12.90,3.00,3.00,0.92,3.69,1.61,1.84,0.92,0.46,0.46,0.00,0.23,0.23,0.00,0.00,0.00,17.28,6.68,4.15,4.61,3.23,0.92,1.38,6.45,0.69,9.22,0.46,5.53,3.23,7.37,1.61,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.67,3.69,3.69,0.23,0.00,0.23,0.23,4.84,0.92,0.92,0.92,0.00
5G Wireless Network,"All, Virgin Islands, U.S.","Claude Roberts, Jr","46,000",USD,30,"'Fundraising ended on Oct 09, 2019",3,Community;Disaster Response;Economic Development;,"46,000","56,000",0.00065,0.00054,963,89.13,81.97,20.68,68.87,19.26,33.64,37.07,6.23,3.12,0.10,2.70,0.10,0.00,0.21,3.12,5.40,12.46,5.30,2.28,6.65,0.62,9.76,4.26,1.87,1.14,1.56,1.97,5.61,3.95,1.66,0.31,0.31,0.52,8.31,0.00,0.31,0.00,0.00,6.33,1.45,2.49,0.52,0.42,1.14,1.25,1.77,0.42,0.62,0.52,1.04,0.00,0.21,0.31,0.31,12.46,5.40,3.63,2.28,1.87,0.73,0.52,6.54,2.49,13.81,3.22,7.48,3.32,4.57,0.21,0.62,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.52,6.13,6.85,0.10,0.00,0.10,0.00,2.28,0.62,1.35,1.45,0.62
99 percent Collaborative Film - Cinema By Demand,Melbourne,Transitions Film Festival3,500,AUD,99,"'Fundraising ended on Feb 09, 2014",5,Environment;,500,"1,000",0.19800,0.09900,543,97.18,72.82,26.94,82.01,25.86,26.15,40.70,7.00,1.84,0.00,0.18,1.47,0.00,0.18,5.16,8.66,15.47,3.50,2.21,5.16,0.00,8.66,3.31,1.29,2.58,2.76,1.84,5.16,4.05,0.92,0.37,0.55,0.00,5.16,0.00,0.00,0.00,0.00,7.00,1.47,2.95,1.10,1.10,0.55,0.74,3.13,2.58,0.18,0.37,0.37,0.37,0.00,0.00,0.00,9.76,1.66,0.92,6.81,0.55,0.18,0.92,5.89,0.92,16.21,2.95,10.87,2.21,4.05,6.81,0.00,1.29,0.18,0.00,0.37,0.00,0.37,0.00,0.00,0.00,16.94,4.24,5.71,1.47,0.00,0.18,0.00,1.47,0.18,1.10,0.92,1.66
A Bright Future for Bright Sparks,Melbourne,Bright Sparks Australia,"10,000",AUD,"10,865","'Aug 23, 2015",95,Environment;,"10,000","20,000",1.08650,0.54325,541,83.54,94.38,15.75,88.45,16.91,21.63,42.33,10.72,7.95,0.00,5.36,2.03,0.00,0.55,2.77,4.62,14.42,5.91,2.03,6.65,0.55,12.20,4.62,2.22,0.18,3.51,2.40,4.07,3.88,0.18,0.18,0.00,0.00,11.83,0.00,0.37,0.00,0.00,7.76,1.29,0.92,1.85,2.77,0.92,2.77,1.66,1.48,0.00,0.18,1.11,0.18,0.37,0.00,0.18,14.42,8.50,1.85,3.14,2.40,0.55,1.48,9.61,2.40,12.75,1.85,6.84,4.25,4.25,0.55,0.37,4.07,0.00,0.00,0.18,0.00,0.18,0.00,0.00,0.00,20.33,7.02,3.88,0.74,0.18,0.00,0.18,2.03,0.00,1.66,1.85,2.77
A child's dream to create. ,"Lima, Peru",George Courson,"5,000",USD,45,"'Fundraising ended on Jan 11, 2018",3,Arts & Culture;Children & Youth;Education;,"5,000","10,000",0.00900,0.00450,105,85.46,50.00,5.55,43.09,21.00,14.29,52.38,9.52,8.57,4.76,0.00,0.00,3.81,0.00,0.95,8.57,16.19,6.67,8.57,3.81,1.90,16.19,1.90,0.95,0.95,0.95,0.95,2.86,1.90,0.95,0.00,0.00,0.95,8.57,1.90,0.00,0.95,4.76,9.52,1.90,1.90,1.90,0.95,0.95,1.90,0.00,0.00,0.00,0.00,1.90,0.00,1.90,0.00,0.00,7.62,2.86,2.86,0.00,1.90,0.00,0.95,11.43,0.00,8.57,0.95,4.76,2.86,9.52,2.86,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.10,4.76,10.48,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.95
A Community House for Macedon & Mount Macedon,"Macedon, Australia",Macedon Community House Committee of Management,"10,000",AUD,"13,600","'Apr 07, 2020",66,Community;,"10,000","30,000",1.36000,0.45333,1265,97.56,92.25,9.03,87.05,21.81,32.65,41.11,4.51,2.37,0.00,2.13,0.16,0.00,0.08,2.13,9.57,15.34,6.32,1.74,4.98,0.16,11.86,2.92,1.42,0.55,3.16,1.90,4.03,3.79,0.24,0.08,0.00,0.16,12.73,0.24,0.08,0.24,0.08,5.69,1.26,1.42,0.95,0.87,1.03,0.63,0.40,0.32,0.00,0.00,1.26,0.08,0.63,0.00,0.47,14.15,8.62,3.32,3.16,1.90,0.24,3.16,8.46,0.63,12.02,0.95,8.14,3.16,7.27,1.34,3.08,1.90,0.08,0.00,0.63,0.00,0.00,0.08,0.55,0.00,11.86,4.51,3.08,0.71,0.00,0.08,0.32,0.40,0.24,1.26,0.00,1.26
