project_name,project_location,project_founder,fund_goal,fund_currency,fund_progress,fund_date_end,fund_supporter,category,goal_tipping point,goal_stretch point,percentagefunded,percstretch,Word_count,Analytic,Clout,Authentic,Tone,Words_per_sentence,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
More Services for Young Mental Health Carers,Central Coast NSW,Central Coast ARAFMI,"5,000",AUD,265,"'Fundraising ended on Oct 31, 2013",7,Health;,"5,000","9,750",0.05300,0.02718,298,90.25,94.99,39.88,75.57,27.09,23.49,39.60,6.38,2.68,0.00,1.01,0.34,0.00,1.34,3.69,5.37,13.76,6.04,3.02,6.04,0.00,10.40,8.05,1.68,2.35,2.68,2.68,3.36,3.02,0.34,0.00,0.00,0.00,16.78,3.02,0.67,0.67,0.67,5.70,1.68,0.34,0.67,1.34,0.34,1.68,1.01,0.00,0.34,0.34,4.36,0.00,4.03,0.00,0.00,12.08,6.38,1.68,4.70,0.67,0.34,1.34,8.72,0.34,16.78,0.67,5.70,10.40,5.70,3.02,1.34,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.42,4.36,3.36,0.34,0.00,0.34,0.00,0.00,0.00,0.67,0.67,2.68
"More Trees, Healthy People, Improved Economies",Ouagadougou,ESPRI Moringa,"5,500",USD,"5,580","'Dec 12, 2013",33,Economic Development;Environment;,"5,500","9,300",1.01455,0.60000,795,92.96,86.86,17.84,72.83,16.56,33.33,41.64,7.55,4.03,0.00,3.02,0.25,0.00,0.75,3.52,6.92,14.97,4.78,3.52,5.41,0.50,8.43,3.90,1.64,1.38,1.64,2.39,4.28,3.40,0.88,0.13,0.00,0.38,10.06,0.50,0.38,0.75,0.00,10.69,2.64,4.03,0.88,1.64,1.26,1.64,1.13,0.50,0.00,0.13,2.77,0.00,2.39,0.38,0.25,14.21,5.66,3.40,4.15,1.26,0.75,1.76,7.04,0.25,12.08,1.76,6.67,3.77,6.67,0.25,0.13,2.14,0.00,0.13,0.25,0.00,0.00,0.00,0.25,0.00,15.85,6.16,3.27,0.88,0.00,0.38,0.25,2.26,0.00,0.88,0.75,1.01
Mothers Building a Future Through Handicrafts,Dumaguete,Little Children of the Philippines,"2,000",AUD,"2,350","'Nov 24, 2014",23,Community;,"2,000","8,000",1.17500,0.29375,439,89.17,92.42,2.20,91.92,18.29,22.10,52.62,12.98,8.66,1.59,1.14,0.46,1.37,4.10,4.33,8.43,16.63,8.66,2.73,3.42,0.46,17.77,3.19,1.82,0.46,1.37,1.14,6.61,5.24,1.14,0.46,0.00,0.23,16.40,2.28,0.00,2.51,0.91,10.71,1.59,2.05,4.10,1.59,0.91,1.59,0.46,0.23,0.00,0.23,1.59,0.00,0.23,0.00,0.91,13.44,4.56,3.87,4.10,2.05,0.46,3.42,12.53,1.59,9.57,2.28,5.24,2.05,7.06,1.37,1.37,2.96,0.00,0.23,0.23,0.00,0.00,0.23,0.00,0.00,9.79,5.24,2.05,0.23,0.00,0.00,0.46,0.00,0.91,0.00,0.46,0.46
Mothers Building a Future Through Handicrafts,Dumaguete,Little Children of the Philippines,"2,000",AUD,"2,350","'Nov 24, 2014",23,Community;,"2,000","8,000",1.17500,0.29375,439,89.17,92.42,2.20,91.92,18.29,22.10,52.62,12.98,8.66,1.59,1.14,0.46,1.37,4.10,4.33,8.43,16.63,8.66,2.73,3.42,0.46,17.77,3.19,1.82,0.46,1.37,1.14,6.61,5.24,1.14,0.46,0.00,0.23,16.40,2.28,0.00,2.51,0.91,10.71,1.59,2.05,4.10,1.59,0.91,1.59,0.46,0.23,0.00,0.23,1.59,0.00,0.23,0.00,0.91,13.44,4.56,3.87,4.10,2.05,0.46,3.42,12.53,1.59,9.57,2.28,5.24,2.05,7.06,1.37,1.37,2.96,0.00,0.23,0.23,0.00,0.00,0.23,0.00,0.00,9.79,5.24,2.05,0.23,0.00,0.00,0.46,0.00,0.91,0.00,0.46,0.46
Motiv8 - Inspiring Artistic Expression ,"Durham, United States","Motiv8, Inc.","1,000",USD,"1,226","'Jan 02, 2018",26,Arts & Culture;Children & Youth;Education;,"1,000","1,500",1.22600,0.81733,146,97.42,96.23,33.79,99.00,18.25,31.51,41.78,6.16,5.48,0.00,1.37,0.00,0.00,4.11,0.68,8.22,17.12,4.79,1.37,6.16,0.00,10.27,8.90,4.11,0.68,0.00,2.05,10.96,10.27,0.00,0.00,0.00,0.00,16.44,0.00,0.68,0.00,0.00,13.70,6.16,7.53,1.37,0.68,2.05,0.00,2.05,0.68,0.00,0.00,0.68,0.00,0.68,0.00,0.00,19.86,7.53,8.22,3.42,2.74,0.68,1.37,6.16,1.37,13.70,2.74,4.79,6.16,12.33,4.79,0.00,0.00,0.00,0.00,0.68,0.00,0.68,0.00,0.00,0.00,10.96,4.79,4.79,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68
Move With Purpose,"Sacramento, CA, United States",Jamie Day,"10,000",USD,"1,045","'Fundraising ended on Jul 03, 2017",16,Arts & Culture;Children & Youth;Social Enterprise;,"10,000","20,000",0.10450,0.05225,500,67.36,97.46,28.54,92.63,18.52,25.60,48.60,12.40,8.20,0.00,5.80,0.40,0.00,2.00,4.20,4.60,14.00,10.20,4.40,5.20,0.60,15.40,4.40,1.60,1.40,1.60,2.80,5.00,4.60,0.40,0.00,0.00,0.40,16.00,0.20,0.20,0.00,0.00,11.80,2.20,2.00,2.00,2.20,2.00,2.00,1.60,0.40,0.00,0.60,0.40,0.20,0.00,0.20,0.00,14.60,11.00,2.00,1.40,1.00,0.40,2.20,11.80,2.80,15.40,3.80,6.40,5.40,5.40,3.40,0.40,1.40,0.20,0.00,0.80,0.00,0.00,0.20,0.60,0.00,11.80,5.60,3.20,0.20,0.00,0.00,0.20,0.80,0.00,0.40,1.20,0.20
Mr Safety and the ABC of Safety,"London, United Kingdom",Habeeb Eyinola,"11,000",USD,90,"'Fundraising ended on Nov 30, 2016",5,Children & Youth;Education;Health;,"11,000","44,000",0.00818,0.00205,759,94.35,82.19,3.72,99.00,21.08,24.51,41.37,5.40,2.90,0.00,0.66,0.13,0.66,1.45,2.50,7.11,15.81,3.29,2.11,10.14,0.26,6.59,4.61,3.69,0.66,2.77,2.37,10.28,8.96,1.32,0.00,1.05,0.00,10.01,0.00,0.26,0.40,1.71,7.25,1.05,1.58,1.45,1.19,0.66,1.32,1.45,1.19,0.00,0.26,3.43,0.40,2.77,0.00,0.26,16.60,3.03,1.98,5.80,1.71,5.01,0.00,4.87,0.13,10.01,1.32,6.72,1.98,5.40,5.27,0.26,0.79,0.00,0.13,0.53,0.00,0.53,0.00,0.00,0.00,14.23,5.27,6.59,0.13,0.13,0.00,0.00,1.71,0.26,0.13,0.00,0.00
Muckaty Nuclear Free,Alice Springs,Beyond Nuclear Initiative,"4,000",AUD,"5,704","'Jul 17, 2014",60,Human Rights;,"4,000","10,000",1.42600,0.57040,158,95.85,88.53,49.24,36.94,17.56,29.75,38.61,3.80,2.53,0.00,0.63,0.00,0.00,1.90,1.27,8.23,13.92,3.80,3.80,6.33,0.63,8.86,5.70,2.53,0.63,3.16,1.90,6.96,3.80,3.16,0.00,0.63,0.00,12.66,0.63,0.00,0.00,0.00,5.06,0.63,1.27,0.63,1.27,0.63,0.63,4.43,3.16,0.63,0.63,0.00,0.00,0.00,0.00,0.00,14.56,4.43,4.43,5.70,1.90,0.63,2.53,3.80,2.53,20.25,2.53,8.23,9.49,0.63,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.66,3.80,4.43,0.63,0.00,0.00,1.90,0.00,0.00,0.00,0.00,1.90
Munify - A Music Community with a Conscience,"Sydney, Australia",Munify,"45,000",AUD,"10,757","'Fundraising ended on Dec 30, 2015",118,Arts & Culture;Community;Social Enterprise;,"45,000","75,000",0.23904,0.14343,1150,80.38,97.69,13.38,99.00,18.85,22.00,47.04,11.65,8.61,0.09,5.22,1.74,0.00,1.57,3.04,6.43,14.43,6.87,4.00,6.17,0.70,14.00,4.26,1.57,1.48,2.00,2.43,7.48,6.87,0.61,0.26,0.00,0.17,15.57,0.00,0.35,0.00,0.00,8.17,1.48,2.87,0.96,1.13,0.96,1.74,5.39,0.09,4.87,0.35,1.13,0.09,0.52,0.09,0.09,14.35,8.09,3.22,1.65,1.91,0.43,1.22,12.78,1.65,12.00,1.91,7.30,3.04,4.17,5.65,0.00,2.87,0.09,0.00,0.17,0.00,0.17,0.00,0.00,0.00,12.70,4.09,3.83,0.17,0.09,0.35,0.87,0.26,0.35,1.48,0.17,1.04
Musafir - Help Us Set Sail!,"Kilifi, Kenya",Musafir,"3,500",USD,"4,741","'Mar 12, 2016",43,Arts & Culture;Community;Environment;,"3,500","11,000",1.35457,0.43100,911,97.31,86.38,11.62,88.79,22.22,20.09,40.72,6.92,3.95,0.00,3.07,0.55,0.00,0.33,2.96,9.22,15.37,4.06,2.20,4.72,0.11,10.10,4.61,2.52,1.10,4.83,2.74,3.73,3.73,0.00,0.00,0.00,0.00,8.67,0.00,0.55,0.00,0.00,7.24,0.99,2.52,0.77,0.99,1.21,1.21,1.32,0.33,0.33,0.11,1.21,0.22,0.33,0.11,0.22,11.75,6.15,2.09,2.09,1.98,0.44,1.32,7.24,1.21,12.40,2.63,6.70,3.07,3.73,1.10,0.44,3.73,0.33,0.00,0.44,0.00,0.22,0.00,0.22,0.00,18.66,3.07,4.61,0.66,0.00,0.55,1.21,2.52,0.00,0.11,3.51,2.41
